slide	subclass	layer	mean_region_num	mean_enrich_num	mean_glut_num	mean_gaba_num	mean_glut_gaba_ratio	sample_n
C57BL6J-1.029	053 Sst Gaba	layer 2/3	1	6	97	17	5.70588235294118	1
C57BL6J-1.029	095 DMH Prdm13 Gaba	layer 1	1	1	5	3	1.66666666666667	1
C57BL6J-1.029	113 MEA-COA-BMA Ccdc42 Glut	layer 1	1	1	3	0.5	6	1
C57BL6J-1.029	319 Astro-TE NN	layer 1	3	29.5	6.75	2.5	2.7	1
C57BL6J-1.029	319 Astro-TE NN	layer 2/3	3	44.6666666666667	148.333333333333	21.6666666666667	6.84615384615385	1
C57BL6J-1.029	320 Astro-OLF NN	layer 1	1	1	6	2	3	1
C57BL6J-1.029	321 Astroependymal NN	layer 1	1	1	8	4	2	1
C57BL6J-1.029	326 OPC NN	layer 1	3	10.3333333333333	7.66666666666667	4	1.91666666666667	1
C57BL6J-1.029	326 OPC NN	layer 2/3	2	17	136	22	6.18181818181818	1
C57BL6J-1.029	326 OPC NN	layer 5	1	8	53	7	7.57142857142857	1
C57BL6J-1.029	327 Oligo NN	layer 1	2	2	4.5	3	1.5	1
C57BL6J-1.029	327 Oligo NN	layer 2/3	1	12	202	27	7.48148148148148	1
C57BL6J-1.029	328 OEC NN	layer 1	2	3	2.33333333333333	1.33333333333333	1.75	1
C57BL6J-1.029	329 ABC NN	layer 1	3	2	6.33333333333333	0.666666666666667	9.5	1
C57BL6J-1.029	330 VLMC NN	layer 1	3	6.5	7.25	1.5	4.83333333333333	1
C57BL6J-1.029	330 VLMC NN	layer 2/3	2	1.5	94.5	13.5	7	1
C57BL6J-1.029	331 Peri NN	layer 1	2	3	2.33333333333333	3	0.777777777777778	1
C57BL6J-1.029	331 Peri NN	layer 2/3	1	18	324	39	8.30769230769231	1
C57BL6J-1.029	332 SMC NN	layer 1	4	3	4.75	1.5	3.16666666666667	1
C57BL6J-1.029	332 SMC NN	layer 2/3	1	4	84	16	5.25	1
C57BL6J-1.029	333 Endo NN	layer 1	4	31.5	6	4.25	1.41176470588235	1
C57BL6J-1.029	333 Endo NN	layer 2/3	5	25.6	64	8.6	7.44186046511628	1
C57BL6J-1.029	333 Endo NN	layer 5	1	33	48	8	6	1
C57BL6J-1.029	334 Microglia NN	layer 1	2	15	8	6.5	1.23076923076923	1
C57BL6J-1.029	334 Microglia NN	layer 2/3	3	18.3333333333333	80	10.6666666666667	7.5	1
C57BL6J-1.029	334 Microglia NN	layer 5	1	18	74	9	8.22222222222222	1
C57BL6J-1.029	335 BAM NN	layer 1	2	1.5	5	0.5	10	1
C57BL6J-1.029	335 BAM NN	layer 2/3	2	1	14.5	2	7.25	1
C57BL6J-1.029	338 Lymphoid NN	layer 1	2	1.5	5	4	1.25	1
C57BL6J-1.029	338 Lymphoid NN	layer 2/3	1	1	133	17	7.82352941176471	1
