subclass	true_cluster_n	true_mean_cluster_size	true_median_cluster_size	random_sample_n	random_mean_of_replicate_maxima	random_median_of_replicate_maxima	random_q1	random_q3	random_min	random_max	difference_true_mean_minus_random_max_mean	fold_change_true_mean_over_random_max_mean	p_one_sided_true_gt	p_one_sided_true_lt	p_two_sided
320 Astro-OLF NN	76	123.15789473684211	108.0	500	488.176	489.0	439.75	535.0	280.0	828.0	-365.01810526315785	0.25228174825645283	1.0	0.001996007984031936	0.001996007984031936
321 Astroependymal NN	31	74.74193548387096	58.0	500	195.814	196.0	175.0	215.0	122.0	306.0	-121.07206451612903	0.381698629739809	1.0	0.001996007984031936	0.001996007984031936
322 Tanycyte NN	4	128.25	77.0	500	298.654	320.0	260.0	355.25	72.0	451.0	-170.404	0.42942669443570153	0.9201596806387226	0.08183632734530938	0.08183632734530938
324 Hypendymal NN	2	50.0	50.0	487	76.77823408624229	78.0	63.0	91.5	18.0	126.0	-26.778234086242293	0.6512262309111819	0.875	0.1290983606557377	0.22336065573770492
325 CHOR NN	1	137.0	137.0	489	62.0879345603272	37.0	32.0	81.0	16.0	220.0	74.9120654396728	2.2065478739171964	0.10612244897959183	0.8979591836734694	0.10612244897959183
326 OPC NN	2705	125.4351201478743	74.0	500	1869.986	1757.5	1522.75	2085.75	1067.0	4072.0	-1744.5508798521257	0.067078106546185	1.0	0.001996007984031936	0.011976047904191617
327 Oligo NN	2445	190.43476482617586	76.0	500	2060.456	1991.0	1667.5	2331.5	1158.0	4182.0	-1870.0212351738242	0.09242360177852663	1.0	0.001996007984031936	0.007984031936127744
328 OEC NN	22	139.63636363636363	113.0	500	366.91	361.5	273.0	455.25	120.0	719.0	-227.2736363636364	0.38057388361277594	0.9940119760479041	0.007984031936127744	0.033932135728542916
329 ABC NN	340	112.75294117647059	98.0	500	439.32	426.0	384.0	480.0	302.0	747.0	-326.5670588235294	0.2566533305482805	1.0	0.001996007984031936	0.001996007984031936
330 VLMC NN	1474	149.98914518317503	107.0	500	1120.208	1058.5	928.0	1256.0	638.0	2243.0	-970.2188548168251	0.1338940135967383	1.0	0.001996007984031936	0.005988023952095809
331 Peri NN	2541	112.89334907516725	68.0	500	1705.584	1632.0	1404.75	1909.75	966.0	3916.0	-1592.6906509248329	0.06619043628174705	1.0	0.001996007984031936	0.007984031936127744
332 SMC NN	1447	167.71596406357983	125.0	500	1312.596	1258.5	1056.0	1511.0	700.0	2958.0	-1144.8800359364202	0.12777424589407543	1.0	0.001996007984031936	0.011976047904191617
333 Endo NN	3399	140.27684613121505	73.0	500	2142.77	2042.0	1738.5	2443.0	1195.0	4614.0	-2002.493153868785	0.06546519044564515	1.0	0.001996007984031936	0.00998003992015968
334 Microglia NN	2818	126.92122072391767	75.0	500	1973.908	1865.5	1617.75	2186.25	1175.0	4036.0	-1846.9867792760822	0.06429946113188542	1.0	0.001996007984031936	0.003992015968063872
335 BAM NN	944	130.2415254237288	89.0	500	928.232	881.0	784.0	1029.0	603.0	1874.0	-797.9904745762711	0.14031139351339839	1.0	0.001996007984031936	0.005988023952095809
336 Monocytes NN	10	130.1	124.5	500	235.132	237.0	215.0	253.0	162.0	318.0	-105.03200000000001	0.5533062279910859	1.0	0.001996007984031936	0.001996007984031936
337 DC NN	104	155.84615384615384	105.5	500	836.896	802.5	715.75	868.5	436.0	1579.0	-681.0498461538461	0.18621926003488348	1.0	0.001996007984031936	0.005988023952095809
338 Lymphoid NN	515	125.19417475728156	90.0	500	722.192	701.5	629.0	785.25	486.0	1460.0	-596.9978252427185	0.17335303459091428	1.0	0.001996007984031936	0.007984031936127744
