slide	subclass	layer	true_region_num	true_file_count	random_sample_n	true_gt_random_count	true_gt_random_ratio	perm_p_value_one_sided
C57BL6J-1.035	334 Microglia NN	layer 2/3	2.000000	1	500	0	0.000000	1
C57BL6J-1.035	334 Microglia NN	layer 5	4.000000	1	500	312	0.624000	0.377246
C57BL6J-1.035	335 BAM NN	layer 1	2.000000	1	500	26	0.052000	0.948104
C57BL6J-1.035	335 BAM NN	layer 2/3	1.000000	1	498	0	0.000000	1
C57BL6J-1.035	335 BAM NN	layer 5	3.000000	1	497	441	0.887324	0.114458
C57BL6J-1.035	337 DC NN	layer 2/3	1.000000	1	473	0	0.000000	1
C57BL6J-1.035	338 Lymphoid NN	layer 1	1.000000	1	495	0	0.000000	1
C57BL6J-1.035	338 Lymphoid NN	layer 2/3	1.000000	1	472	0	0.000000	1
C57BL6J-1.035	338 Lymphoid NN	layer 5	1.000000	1	381	0	0.000000	1
C57BL6J-1.036	001 CLA-EPd-CTX Car3 Glut	layer 2/3	1.000000	1	445	0	0.000000	1
C57BL6J-1.036	001 CLA-EPd-CTX Car3 Glut	layer 5	1.000000	1	490	0	0.000000	1
C57BL6J-1.036	002 IT EP-CLA Glut	layer 5	1.000000	1	491	0	0.000000	1
C57BL6J-1.036	004 L6 IT CTX Glut	layer 5	1.000000	1	500	0	0.000000	1
C57BL6J-1.036	004 L6 IT CTX Glut	layer 6a	1.000000	1	312	0	0.000000	1
C57BL6J-1.036	005 L5 IT CTX Glut	layer 2/3	1.000000	1	470	0	0.000000	1
C57BL6J-1.036	005 L5 IT CTX Glut	layer 5	2.000000	1	500	32	0.064000	0.936128
C57BL6J-1.036	005 L5 IT CTX Glut	layer 6a	1.000000	1	189	0	0.000000	1
C57BL6J-1.036	006 L4/5 IT CTX Glut	layer 2/3	2.000000	1	500	0	0.000000	1
C57BL6J-1.036	006 L4/5 IT CTX Glut	layer 5	1.000000	1	500	0	0.000000	1
