sample,slide,pair_key_unordered,a_class,b_class,overlap_a_in_b
sample_1,C57BL6J-1.027,047 Sncg Gaba || 049 Lamp5 Gaba,047 Sncg Gaba,049 Lamp5 Gaba,0.45871559633027525
sample_1,C57BL6J-1.027,047 Sncg Gaba || 052 Pvalb Gaba,047 Sncg Gaba,052 Pvalb Gaba,0.8073394495412844
sample_1,C57BL6J-1.027,049 Lamp5 Gaba || 052 Pvalb Gaba,049 Lamp5 Gaba,052 Pvalb Gaba,0.7857142857142857
sample_2,C57BL6J-1.026,007 L2/3 IT CTX Glut || 046 Vip Gaba,007 L2/3 IT CTX Glut,046 Vip Gaba,0.8333333333333334
sample_2,C57BL6J-1.026,007 L2/3 IT CTX Glut || 047 Sncg Gaba,007 L2/3 IT CTX Glut,047 Sncg Gaba,0.4166666666666667
sample_2,C57BL6J-1.026,007 L2/3 IT CTX Glut || 049 Lamp5 Gaba,007 L2/3 IT CTX Glut,049 Lamp5 Gaba,0.7083333333333334
sample_2,C57BL6J-1.026,007 L2/3 IT CTX Glut || 053 Sst Gaba,007 L2/3 IT CTX Glut,053 Sst Gaba,0.2916666666666667
sample_2,C57BL6J-1.026,046 Vip Gaba || 047 Sncg Gaba,046 Vip Gaba,047 Sncg Gaba,0.5172413793103449
sample_2,C57BL6J-1.026,046 Vip Gaba || 049 Lamp5 Gaba,046 Vip Gaba,049 Lamp5 Gaba,0.5862068965517241
sample_2,C57BL6J-1.026,046 Vip Gaba || 053 Sst Gaba,046 Vip Gaba,053 Sst Gaba,0.13793103448275862
sample_2,C57BL6J-1.026,047 Sncg Gaba || 049 Lamp5 Gaba,047 Sncg Gaba,049 Lamp5 Gaba,0.2631578947368421
sample_2,C57BL6J-1.026,047 Sncg Gaba || 053 Sst Gaba,047 Sncg Gaba,053 Sst Gaba,0.3157894736842105
sample_2,C57BL6J-1.026,049 Lamp5 Gaba || 051 Pvalb chandelier Gaba,049 Lamp5 Gaba,051 Pvalb chandelier Gaba,0.25925925925925924
sample_2,C57BL6J-1.026,007 L2/3 IT CTX Glut || 046 Vip Gaba,007 L2/3 IT CTX Glut,046 Vip Gaba,0.67
sample_2,C57BL6J-1.026,007 L2/3 IT CTX Glut || 049 Lamp5 Gaba,007 L2/3 IT CTX Glut,049 Lamp5 Gaba,0.36
sample_2,C57BL6J-1.026,007 L2/3 IT CTX Glut || 052 Pvalb Gaba,007 L2/3 IT CTX Glut,052 Pvalb Gaba,0.01
sample_2,C57BL6J-1.026,007 L2/3 IT CTX Glut || 053 Sst Gaba,007 L2/3 IT CTX Glut,053 Sst Gaba,0.16
sample_2,C57BL6J-1.026,046 Vip Gaba || 049 Lamp5 Gaba,046 Vip Gaba,049 Lamp5 Gaba,0.5294117647058824
sample_2,C57BL6J-1.026,046 Vip Gaba || 052 Pvalb Gaba,046 Vip Gaba,052 Pvalb Gaba,0.011764705882352941
sample_2,C57BL6J-1.026,049 Lamp5 Gaba || 052 Pvalb Gaba,049 Lamp5 Gaba,052 Pvalb Gaba,0.013513513513513514
sample_2,C57BL6J-1.026,049 Lamp5 Gaba || 053 Sst Gaba,049 Lamp5 Gaba,053 Sst Gaba,0.04054054054054054
sample_2,C57BL6J-1.027,007 L2/3 IT CTX Glut || 049 Lamp5 Gaba,007 L2/3 IT CTX Glut,049 Lamp5 Gaba,0.03571428571428571
sample_2,C57BL6J-1.027,007 L2/3 IT CTX Glut || 049 Lamp5 Gaba,007 L2/3 IT CTX Glut,049 Lamp5 Gaba,0.25
sample_2,C57BL6J-1.027,007 L2/3 IT CTX Glut || 052 Pvalb Gaba,007 L2/3 IT CTX Glut,052 Pvalb Gaba,0.07142857142857142
sample_2,C57BL6J-1.027,007 L2/3 IT CTX Glut || 046 Vip Gaba,007 L2/3 IT CTX Glut,046 Vip Gaba,0.125
sample_2,C57BL6J-1.027,007 L2/3 IT CTX Glut || 046 Vip Gaba,007 L2/3 IT CTX Glut,046 Vip Gaba,0.125
sample_2,C57BL6J-1.027,007 L2/3 IT CTX Glut || 049 Lamp5 Gaba,007 L2/3 IT CTX Glut,049 Lamp5 Gaba,1.0
sample_2,C57BL6J-1.027,007 L2/3 IT CTX Glut || 052 Pvalb Gaba,007 L2/3 IT CTX Glut,052 Pvalb Gaba,0.125
sample_2,C57BL6J-1.027,046 Vip Gaba || 047 Sncg Gaba,046 Vip Gaba,047 Sncg Gaba,0.5
sample_2,C57BL6J-1.027,046 Vip Gaba || 049 Lamp5 Gaba,046 Vip Gaba,049 Lamp5 Gaba,0.14285714285714285
sample_2,C57BL6J-1.027,046 Vip Gaba || 052 Pvalb Gaba,046 Vip Gaba,052 Pvalb Gaba,1.0
sample_2,C57BL6J-1.027,046 Vip Gaba || 053 Sst Gaba,046 Vip Gaba,053 Sst Gaba,0.5714285714285714
sample_2,C57BL6J-1.027,046 Vip Gaba || 049 Lamp5 Gaba,046 Vip Gaba,049 Lamp5 Gaba,1.0
sample_2,C57BL6J-1.027,049 Lamp5 Gaba || 052 Pvalb Gaba,049 Lamp5 Gaba,052 Pvalb Gaba,0.09090909090909091
sample_2,C57BL6J-1.027,052 Pvalb Gaba || 053 Sst Gaba,052 Pvalb Gaba,053 Sst Gaba,0.5384615384615384
sample_2,C57BL6J-1.027,006 L4/5 IT CTX Glut || 007 L2/3 IT CTX Glut,006 L4/5 IT CTX Glut,007 L2/3 IT CTX Glut,0.9726027397260274
sample_2,C57BL6J-1.027,006 L4/5 IT CTX Glut || 046 Vip Gaba,006 L4/5 IT CTX Glut,046 Vip Gaba,0.5821917808219178
sample_2,C57BL6J-1.027,006 L4/5 IT CTX Glut || 047 Sncg Gaba,006 L4/5 IT CTX Glut,047 Sncg Gaba,0.4383561643835616
sample_2,C57BL6J-1.027,006 L4/5 IT CTX Glut || 049 Lamp5 Gaba,006 L4/5 IT CTX Glut,049 Lamp5 Gaba,0.0273972602739726
sample_2,C57BL6J-1.027,006 L4/5 IT CTX Glut || 051 Pvalb chandelier Gaba,006 L4/5 IT CTX Glut,051 Pvalb chandelier Gaba,0.00684931506849315
sample_2,C57BL6J-1.027,006 L4/5 IT CTX Glut || 052 Pvalb Gaba,006 L4/5 IT CTX Glut,052 Pvalb Gaba,0.8698630136986302
sample_2,C57BL6J-1.027,007 L2/3 IT CTX Glut || 051 Pvalb chandelier Gaba,007 L2/3 IT CTX Glut,051 Pvalb chandelier Gaba,0.14285714285714285
sample_2,C57BL6J-1.027,007 L2/3 IT CTX Glut || 046 Vip Gaba,007 L2/3 IT CTX Glut,046 Vip Gaba,0.6759259259259259
sample_2,C57BL6J-1.027,007 L2/3 IT CTX Glut || 047 Sncg Gaba,007 L2/3 IT CTX Glut,047 Sncg Gaba,0.3148148148148148
sample_2,C57BL6J-1.027,007 L2/3 IT CTX Glut || 049 Lamp5 Gaba,007 L2/3 IT CTX Glut,049 Lamp5 Gaba,0.013888888888888888
sample_2,C57BL6J-1.027,007 L2/3 IT CTX Glut || 051 Pvalb chandelier Gaba,007 L2/3 IT CTX Glut,051 Pvalb chandelier Gaba,0.009259259259259259
sample_2,C57BL6J-1.027,007 L2/3 IT CTX Glut || 052 Pvalb Gaba,007 L2/3 IT CTX Glut,052 Pvalb Gaba,0.5925925925925926
sample_2,C57BL6J-1.027,007 L2/3 IT CTX Glut || 053 Sst Gaba,007 L2/3 IT CTX Glut,053 Sst Gaba,0.06481481481481481
sample_2,C57BL6J-1.027,046 Vip Gaba || 047 Sncg Gaba,046 Vip Gaba,047 Sncg Gaba,0.18803418803418803
sample_2,C57BL6J-1.027,046 Vip Gaba || 049 Lamp5 Gaba,046 Vip Gaba,049 Lamp5 Gaba,0.017094017094017096
sample_2,C57BL6J-1.027,046 Vip Gaba || 051 Pvalb chandelier Gaba,046 Vip Gaba,051 Pvalb chandelier Gaba,0.1111111111111111
sample_2,C57BL6J-1.027,046 Vip Gaba || 052 Pvalb Gaba,046 Vip Gaba,052 Pvalb Gaba,0.32051282051282054
sample_2,C57BL6J-1.027,046 Vip Gaba || 053 Sst Gaba,046 Vip Gaba,053 Sst Gaba,0.2264957264957265
sample_2,C57BL6J-1.027,047 Sncg Gaba || 049 Lamp5 Gaba,047 Sncg Gaba,049 Lamp5 Gaba,0.04285714285714286
sample_2,C57BL6J-1.027,047 Sncg Gaba || 052 Pvalb Gaba,047 Sncg Gaba,052 Pvalb Gaba,0.9714285714285714
sample_2,C57BL6J-1.027,049 Lamp5 Gaba || 051 Pvalb chandelier Gaba,049 Lamp5 Gaba,051 Pvalb chandelier Gaba,0.25
sample_2,C57BL6J-1.027,049 Lamp5 Gaba || 052 Pvalb Gaba,049 Lamp5 Gaba,052 Pvalb Gaba,0.75
sample_2,C57BL6J-1.027,051 Pvalb chandelier Gaba || 053 Sst Gaba,051 Pvalb chandelier Gaba,053 Sst Gaba,0.03333333333333333
sample_2,C57BL6J-1.028,007 L2/3 IT CTX Glut || 046 Vip Gaba,007 L2/3 IT CTX Glut,046 Vip Gaba,0.6111111111111112
sample_2,C57BL6J-1.028,007 L2/3 IT CTX Glut || 047 Sncg Gaba,007 L2/3 IT CTX Glut,047 Sncg Gaba,0.07407407407407407
sample_2,C57BL6J-1.028,007 L2/3 IT CTX Glut || 049 Lamp5 Gaba,007 L2/3 IT CTX Glut,049 Lamp5 Gaba,0.46296296296296297
sample_2,C57BL6J-1.028,007 L2/3 IT CTX Glut || 046 Vip Gaba,007 L2/3 IT CTX Glut,046 Vip Gaba,0.13725490196078433
sample_2,C57BL6J-1.028,007 L2/3 IT CTX Glut || 049 Lamp5 Gaba,007 L2/3 IT CTX Glut,049 Lamp5 Gaba,0.0196078431372549
sample_2,C57BL6J-1.028,007 L2/3 IT CTX Glut || 051 Pvalb chandelier Gaba,007 L2/3 IT CTX Glut,051 Pvalb chandelier Gaba,0.7254901960784313
sample_2,C57BL6J-1.028,007 L2/3 IT CTX Glut || 052 Pvalb Gaba,007 L2/3 IT CTX Glut,052 Pvalb Gaba,0.0784313725490196
sample_2,C57BL6J-1.028,007 L2/3 IT CTX Glut || 053 Sst Gaba,007 L2/3 IT CTX Glut,053 Sst Gaba,0.37254901960784315
sample_2,C57BL6J-1.028,007 L2/3 IT CTX Glut || 047 Sncg Gaba,007 L2/3 IT CTX Glut,047 Sncg Gaba,0.6666666666666666
sample_2,C57BL6J-1.028,007 L2/3 IT CTX Glut || 052 Pvalb Gaba,007 L2/3 IT CTX Glut,052 Pvalb Gaba,1.0
sample_2,C57BL6J-1.028,007 L2/3 IT CTX Glut || 053 Sst Gaba,007 L2/3 IT CTX Glut,053 Sst Gaba,0.9166666666666666
sample_2,C57BL6J-1.028,007 L2/3 IT CTX Glut || 047 Sncg Gaba,007 L2/3 IT CTX Glut,047 Sncg Gaba,0.2413793103448276
sample_2,C57BL6J-1.028,007 L2/3 IT CTX Glut || 051 Pvalb chandelier Gaba,007 L2/3 IT CTX Glut,051 Pvalb chandelier Gaba,0.10344827586206896
sample_2,C57BL6J-1.028,007 L2/3 IT CTX Glut || 052 Pvalb Gaba,007 L2/3 IT CTX Glut,052 Pvalb Gaba,0.034482758620689655
sample_2,C57BL6J-1.028,007 L2/3 IT CTX Glut || 049 Lamp5 Gaba,007 L2/3 IT CTX Glut,049 Lamp5 Gaba,0.07142857142857142
sample_2,C57BL6J-1.028,007 L2/3 IT CTX Glut || 053 Sst Gaba,007 L2/3 IT CTX Glut,053 Sst Gaba,0.07142857142857142
sample_2,C57BL6J-1.028,046 Vip Gaba || 047 Sncg Gaba,046 Vip Gaba,047 Sncg Gaba,0.07017543859649122
sample_2,C57BL6J-1.028,046 Vip Gaba || 049 Lamp5 Gaba,046 Vip Gaba,049 Lamp5 Gaba,0.7543859649122807
sample_2,C57BL6J-1.028,046 Vip Gaba || 052 Pvalb Gaba,046 Vip Gaba,052 Pvalb Gaba,0.08771929824561403
sample_2,C57BL6J-1.028,046 Vip Gaba || 047 Sncg Gaba,046 Vip Gaba,047 Sncg Gaba,0.16666666666666666
sample_2,C57BL6J-1.028,046 Vip Gaba || 047 Sncg Gaba,046 Vip Gaba,047 Sncg Gaba,0.5833333333333334
sample_2,C57BL6J-1.028,046 Vip Gaba || 051 Pvalb chandelier Gaba,046 Vip Gaba,051 Pvalb chandelier Gaba,0.08333333333333333
sample_2,C57BL6J-1.028,046 Vip Gaba || 052 Pvalb Gaba,046 Vip Gaba,052 Pvalb Gaba,0.3333333333333333
sample_2,C57BL6J-1.028,046 Vip Gaba || 053 Sst Gaba,046 Vip Gaba,053 Sst Gaba,1.0
sample_2,C57BL6J-1.028,047 Sncg Gaba || 049 Lamp5 Gaba,047 Sncg Gaba,049 Lamp5 Gaba,1.0
